"";"record_id";"other_titles";"publisher";"country_of_publication";"main_topic";"data_type";"related_resources";"holdings";"holdings_begin";"holdings_end";"issn";"arabic_abstract";"english_abstract";"french_abstract";"canonical";"title"
"21";"BIM-111860";"al-Kalimah";"منتدى الكلمة للدراسات و الأبحاث";"Lebanon";"Religion";"Journals";NA;52;2004-12-31;2017-09-30;NA;"الكلمة هي مجلة فصلية فكرية، تعنى بشئون الفكر الإسلامي و قضايا العصر و التجدد الحضاري-تصدر عن منتدى الكلمة للدراسات و الأبحاث التابع لشركة الكلمة للإعلام و النشر المحدودة -نيو صوفيا / قبرص.";NA;NA;"https://search.emarefa.net/detail/BIM-111860";" مجلة الكلمة"
"22";"BIM-11231";NA;"Amman Stock Exchange";"Jordan";"Periodic Statistical ReportsEconomy";"Journals";" Annual Report ";3;2008-12-31;2013-12-31;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-11231";" التقرير السنوي"
"23";"BIM-11246";"Shwoon Alasr";"Yemeni Center for Strategic Studies";"Yemen";"Social Sciences (Multidisciplinary)";"Journals";NA;46;2001-03-31;2014-12-31;NA;"مجلة علمية فصلية محكمة تصدر عن المركز اليمني للدراسات الاستراتيجية. تنشر أبحاثها في مجال العلوم الإجتماعية";NA;NA;"https://search.emarefa.net/detail/BIM-11246";" شؤون العصر"
"24";"BIM-11259";"Hebron University Research Journal";"Hebron University Deanship of Scientific Research";"Palestine (West Bank)";"Human Sciences (Multidisciplinary)Social Sciences (Multidisciplinary)";"Journals";" مجلة جامعة الخليل للبحوث : مجلة العلوم الإنسانية  مجلة جامعة الخليل للبحوث : مجلة العلوم الطبيعية ";2;2003-12-31;2005-05-31;NA;"مجلة جامعة الخليل للبحوث مجلة علمية محكمة تصدر عن جامعة الخليل، عمادة البحث العلمي، تصدر بصورة دورية و تهدف إلى تشجيع نشر البحوث و الدراسات في جميع حقول المعرفة لأعضاء هيئة التدريس في الجامعة و الجامعات الأخرى داخل فلسطين و خارجها.";NA;NA;"https://search.emarefa.net/detail/BIM-11259";" مجلة جامعة الخليل للبحوث"
"25";"BIM-112640";"Iranian Studies Journal ";"University of Basrah Basrah and Arab Gulf Studies Center";"Iraq";"Human Sciences (Multidisciplinary)Social Sciences (Multidisciplinary)Political Sciences";"Journals";NA;9;2005-12-31;2012-03-31;"2223-2354";"مجلة علمية تصدر عن جامعة البصرة، مركز الدراسات الإيرانية. تنشر أبحاثها في مجال العلوم الإجتماعية.";NA;NA;"https://search.emarefa.net/detail/BIM-112640";" مجلة دراسات إيرانية"
"26";"BIM-11414";NA;"غرفة تجارة عمان إدارة الدراسات و التدريب وحدة الدراسات و الاتفاقيات الدولية";"Jordan";"Periodic Statistical ReportsEconomy";"Journals";NA;1;2009-03-31;2009-03-31;NA;"تقرير سنوي يصدر عن غرفة تجارة عمان، إدارة الدراسات والتدريب، وحدة الدراسات والاتفاقيات الدولية / الأردن";NA;NA;"https://search.emarefa.net/detail/BIM-11414";" تقرير حول تجارة الأردن الخارجية مع دول الاتفاقيات"
"27";"BIM-117100";"Fikr : Journal of Human and Social ScienceFikr : Revue des Sciences Humaines et Sociales : Périodique, Spécialisée, Scientifique";"منشورات فكر";"Morocco";"Human Sciences (Multidisciplinary)Social Sciences (Multidisciplinary)";"Journals";NA;7;2005-12-31;2015-12-31;"1114-9124";"مجلة دورية، علمية، متخصصة، محكمة تصدر عن منشورات فكر، تنشر أبحاثها في مجال العلوم الاجتماعية و العلوم الإنسانية.";NA;NA;"https://search.emarefa.net/detail/BIM-117100";" فكر : العلوم الإنسانية و الاجتماعية"
"28";"BIM-117780";"Shuʼūn khalījīyah";"Gulf Centre for Strategic Studies";"Bahrain";"Political Sciences";"Journals";NA;58;1999-01-31;2011-12-31;"1465-489X";"مجلة فصلية علمية محكمة يصدرها مركز الخليج للدراسات الاستراتيجية. تنشر أبحاثها في مجال العلوم السياسية";NA;NA;"https://search.emarefa.net/detail/BIM-117780";" شؤون خليجية"
"29";"BIM-120940";"al-Murafaah : Tuṣdiruhā Hayʾat al-Muḥāmīn ladá Maḥkamatayy al-Istiʾnāf bi-Akādīr wa-al-ʻUyūn";"Ordre des Avocats Pres les Cours d'Agadir et de Laayoune";"Morocco";"Law";"Journals";NA;6;2004-12-31;2011-11-30;NA;"فصلية تصدرها هيئة المحامين بأكادير تصدر عن هيئة المحامين بأكادير. تنشر أبحاثها في مجال العلوم الإجتماعية";NA;NA;"https://search.emarefa.net/detail/BIM-120940";" المرافعة"
"30";"BIM-12589";"al-Tasamoh";"Ministry of Endowments and Religious Affairs";"Oman";"Religion";"Journals";NA;30;2003-04-30;2010-06-30;NA;NA;NA;NA;"https://search.emarefa.net/detail/BIM-12589";" التسامح"
"31";"BIM-12631";"Qaḍāyā Isrāʼīlīyah";"The Palestinian Forum for Israeli Studies MADAR";"Palestine (West Bank)";"Political Sciences";"Journals";NA;47;2005-06-30;2020-01-31;NA;"مجلة علمية تصدر عن المركز الفلسطيني للدراسات الإسرائيلية (مدار)، تنشر أبحاثها في مجال العلوم السياسية.";NA;NA;"https://search.emarefa.net/detail/BIM-12631";" قضايا إسرائيلية"
"32";"BIM-12768";"Research : Scientific Journal";"National Research Center";"Palestine (Gaza Strip)";"Human Sciences (Multidisciplinary)Social Sciences (Multidisciplinary)Natural & Life Sciences (Multidisciplinary)";"Journals";NA;9;2008-06-30;2016-12-31;NA;"مجلة علمية محكمة تصدر عن المركز القومي للبحوث، تنشر أبحاثها في مجال العلوم الاجتماعية و العلوم الإنسانية و العلوم الطبيعية و الحياتية.";NA;NA;"https://search.emarefa.net/detail/BIM-12768";" بحوث"
"33";"BIM-12937";"Dirāsāt IqtiṣādīyahEconomic Studies";"Al Baseera Center for Educational Studies and Consultations";"Algeria";"Economics & Business Administration";"Journals";NA;27;2004-01-31;2019-11-30;"1112-7988";"دورية اقتصادية محكمة تصدر عن مركز البصيرة للبحوث و الاستشارات و الخدمات التعلمية. تنشر أبحاثها في مجال العلوم الاقتصادية و المالية و إدارة الأعمال";NA;NA;"https://search.emarefa.net/detail/BIM-12937";" دراسات اقتصادية"
"34";"BIM-168275";NA;"Al al-Bayt University Deanship of Academic Research and Graduate Studies";"Jordan";"Human Sciences (Multidisciplinary)Social Sciences (Multidisciplinary)";"Journals";NA;28;1997-03-31;2014-12-31;"1026-6844";"مجلة علمية متخصصة محكمة تصدر عن جامعة آل البيت. تنشر أبحاثها في مجال العلوم الإنسانية و الاجتماعية.";NA;NA;"https://search.emarefa.net/detail/BIM-168275";" المنارة"
"35";"BIM-168526";"Majallat Midad li-Dirasat al-Amal al-KhayriMedad MagazineJournal Medad for Charitable Work Studies : Credit Scientific Journal that Publishes Research and Work on Charitable Work and Activities";"International Center for Research and Studies";"Saudi Arabia";"Social Sciences (Multidisciplinary)";"Journals";NA;3;2010-06-30;2011-12-31;"1658-5151";"مجلة علمية محكمة تعنى بنشر الأبحاث و الأعمال العلمية المتعلقة بالعمل الخيري و نشاطاته تصدر عن المركز الدولي للأبحاث و الدراسات. تنشر أبحاثها في مجال العلوم الإنسانية.";NA;NA;"https://search.emarefa.net/detail/BIM-168526";" مجلة مداد لدراسات العمل الخيري"
"36";"BIM-169023";"Revue Marocaine des Contentieux";"Abd al-Haqq al-Jannati al-Idrisi";"Morocco";"Law";"Journals";NA;4;2004-06-30;2008-12-31;"1114-7113";"مجلة تصدر بوجدة و تعنى بالقضايا و المنازعات القانونية تشريعا، فقها و قضاء ؛ محليا، وطنيا و دوليا ؛ و في سائر فروع القانون.";NA;NA;"https://search.emarefa.net/detail/BIM-169023";" المجلة المغربية للمنازعات القانونية"
"37";"BIM-183720";"مجلة البحوث الصناعية : مجلة علمية محكمة";"Industrial Research and Consultancy Center";"Sudan";"Business AdministrationEconomy";"Journals";NA;1;2009-06-30;2009-06-30;"1728-1954";NA;"Refereed Scientific Journal Issued from Industrial Research and Consultancy Center. Publish its Researches in the field of Economics & Business Administration";NA;"https://search.emarefa.net/detail/BIM-183720";" Industrial Research Journal"
"38";"BIM-185620";"Attadriss : Revue Marocaine des Sciences de I' Educationالتديس : المجلة المغربية لعلوم التربيةالتديس : مجلة كلية علوم التربية";"Université Mohammed V-Souissi Faculté des Sciences de l'Education";"Morocco";"Education";"Journals";NA;5;2008-12-31;2018-12-31;"0851-1136";"المجلة المغربية لعلوم التربية تصدر عن جامعة محمد الخامس السويسي، كلية علوم التربية. تنشر أبحاثها في مجال العلوم الإنسانية";NA;NA;"https://search.emarefa.net/detail/BIM-185620";" التدريس"
"39";"BIM-185680";"Fikr : al-Ulum al-Iqtisadiyah wa-al-Qanuniyah wa-al-SiyasiyahFikr : Revue des Siences Économiques, Juridiques et PolitiquesFikr : Journal of Economic, Legal and Political Studies";"منشورات فكر";"Morocco";"EconomyLawPolitical Sciences";"Journals";NA;5;2008-02-28;2015-12-31;NA;"مجلة دورية-علمية-متخصصة-محكمة تصدر عن منشورات فكر تنشر أبحاثها في مجال العلوم الاجتماعية و العلوم الاقتصادية و المالية و إدارة الأعمال.";NA;NA;"https://search.emarefa.net/detail/BIM-185680";" فكر : العلوم الاقتصادية و القانونية و السياسية"
"40";"BIM-187124";"Palestinian Journal of Open and Distance Education : An Annual Refereed Journal";"al-Quds Open University Deanship of Scientific Research and Graduate Studies";"Palestine (West Bank)";"Social Sciences (Multidisciplinary)Education";"Journals";" المجلة الفلسطينية للتعليم المفتوح و التعلم الإلكتروني : مجلة سنوية محكمة ";5;2007-01-31;2011-01-31;"2074-5656";"أصبح اسمها المجلة الفلسطينية للتعليم المفتوح، و هي مجلة سنوية محكمة تصدر عن عمادة البحث العلمي و الدراسات العليا لجامعة القدس المفتوحة في فلسطين و قد صدر العدد الأول منها في كانون ثاني/ عام 2007 م. تنشر المجلة البحوث المتعلقة بالتعليم المفتوح لأعضاء هيئة التدريس و الباحثين في جامعة القدس المفتوحة و غيرها من الجامعات المحلية و العربية و الدولية و تنشر أيضا الأبحاث المقدمة في هذا المجال إلى مؤتمرات علمية و المراجعات و التقارير و ترجمات البحوث بعد تحكيمها. ";NA;NA;"https://search.emarefa.net/detail/BIM-187124";" المجلة الفلسطينية للتربية المفتوحة عن بعد"
"41";"BIM-187381";"al-Ghadīr";"Supreme Islamic Shia Council Center of Studies and Documentation";"Lebanon";"Religion";"Journals";NA;19;2004-06-30;2010-12-31;NA;"مجلة علمية تصدر عن المجلس الإسلامي الشيعي الأعلى، مركز الدراسات و التوثيق، تنشر أبحاثها في مجال العلوم الإنسانية.";NA;NA;"https://search.emarefa.net/detail/BIM-187381";" الغدير"
"42";"BIM-200522";"Nahdha : Quarterly Journal Faculty of Economic and Political Scienceal-Nahḍah : majallat Kullīyat al-Iqtiṣād wa-al-ʻUlūm al-Siyāsīyah";"Cairo University Faculty of Economics and Political Science";"Egypt";"Economics & Business AdministrationPolitical Sciences";"Journals";" مجلة كلية الاقتصاد و العلوم السياسية ";50;2000-04-30;2015-01-31;"1687-3122";"مجلة علمية فصلية محكمة تعنى بنشر البحوث النظرية و الميدانية في علوم الاقتصاد، و الإحصاء، و السياسة، و الإدارة العامة، و تطبيقات الحاسب الآلي في العلوم الاجتماعية. كما تعنى المجلة بتقديم الرؤى العلمية، و عروض الكتب، و متابعة الندوات و المؤتمرات. ";NA;NA;"https://search.emarefa.net/detail/BIM-200522";" النهضة"
"43";"BIM-203102";"Al-Rissaleh";"The National Centre for Human Rights";"Jordan";"Law";"Journals";NA;4;2005-10-31;2007-12-31;NA;"دورية يصدرها المركز الوطني لحقوق الإنسان تعنى بالديمقراطية و حقوق الإنسان و التنمية السياسية. تنشر أبحاثها في مجال العلوم الإجتماعية.";NA;NA;"https://search.emarefa.net/detail/BIM-203102";" الرسالة : دورية تعنى بالديمقراطية و حقوق الإنسان و التنمية السياسية"
"44";"BIM-208242";"مجلة المنصور";"al-Mansour University College";"Iraq";"Social Sciences (Multidisciplinary)Economy";"Journals";NA;22;2007-12-31;2019-06-30;"1819-6489";NA;"al-Mansour Journal is a biannual refereed journal, issued by al-Mansour University College. First issue was in the year 2000 with consigning Number in Books & Documents House 686-1999. al-Mansour University College aims at being a standard academic center for specialists and academic staffs in universities, institutes and other scientific organizations in the fields of knowledge within al-Mansour Journal concern. ";NA;"https://search.emarefa.net/detail/BIM-208242";" al-Mansour"
"45";"BIM-216262";"Kufa Studies Center JournalJournal of Kufa Studies Center";"University of Kufa Kufa Studies Center";"Iraq";"Human Sciences (Multidisciplinary)";"Journals";" دراسات نجفية : مجلة فصلية علمية محكمة ";50;2007-12-31;2019-12-31;"1993-7016";"مجلة علمية فصلية محكمة تصدر عن مركز دراسات الكوفة جامعة الكوفة و تهتم بالبحوث العلمية و الإنسانية معا و ذلك لان مركز دراسات الكوفة متخصص بالعلوم الإنسانية و العلمية و يسعى إلى حلحلة المشاكل التي يواجهها المجتمع حيث تقسم المجلة إلى خمسة أبواب رئيسية و هي الدراسات القرآنية و الدراسات اللغوية و الدراسات القانونية و الدراسات التاريخية و الجغرافية و التعليم المستمر و يشمل الدراسات التطبيقية و الميدانية تاريخ أول عدد صدر سنة 2004 عدد الإعداد التي تنشر في السنة 4 أعداد عدد الإصدارات التي صدرت خلال الفترة من 2004-2014 هو 32 عدد.";NA;NA;"https://search.emarefa.net/detail/BIM-216262";" مجلة مركز دراسات الكوفة"
"46";"BIM-21683";"University of Sharjah Journal for Humanities and Social Sciences : International Refereed Periodical";"University of Sharjah";"United Arab Emirates";"Human Sciences (Multidisciplinary)Social Sciences (Multidisciplinary)";"Journals";NA;29;2008-02-29;2019-12-31;"1996-2339";"ترمي مجلة جامعة الشارقة إلى الإسهام في تطوير المعرفة و نشرها، و ذلك بنشر البحوث العلمية الأصيلة، و المراجعات العلمية في مجالات البحوث و الدراسات الشرعية و الإنسانية. و ستكون المجلة أيضا سجلاً وثائقياً للبحوث و الدراسات الشرعية و الإنسانية. اهتمامات المجلة : تعنى المجلة بنشر ما يأتي : - البحوث العلمية الرصينة في مجالات التخصص. - البحوث و الدراسات المعنية بنصوص التراث العربي و الإسلامي. - البحوث و الدراسات النقدية التي تتصل بالإصدارات في مجالات التخصص التي تعنى بها المجلة. - البحوث و الدراسات العلمية المعنية بمعالجة المشكلات المعاصرة و القضايا المستجدة في المجتمع. - البحوث و التقارير و الترجمات العلمية، و عرض الكتب الجديدة و مراجعتها، و التعليق على الأحكام القضائية. - البحوث و الدراسات العلمية التي تسهم في رقي المجتمع حضاريا، و البحوث و الدراسات التي تسهم في المحافظة على هويته العربية و الإسلامية. لغة النشر : تنشر البحوث في المجلة باللغتين العربية و الإنجليزية. ";NA;NA;"https://search.emarefa.net/detail/BIM-21683";" مجلة جامعة الشارقة للعلوم الإنسانية و الاجتماعية"
